pre_column,post_column,test,statistic,p_value,n_total,condition_a,condition_b,mean_delta_group_a,mean_delta_group_b,direction,effect_size_d
AI systems are 3,AI systems are 3 Post,student_t,3.414618199305992,0.0007342923387059588,279,Interactive,Static,0.3835616438356164,0.12030075187969924,Interactive > Static,0.40930024440139673
AI Weary,AI Weary Post,student_t,-2.321168418251196,0.021003685688065963,279,Interactive,Static,-0.22602739726027396,0.18045112781954886,Static > Interactive,-0.27823163394376366
AI systems are 1,AI systems are 1 Post,student_t,-2.306951244650416,0.021795311348498853,279,Interactive,Static,-0.10273972602739725,0.045112781954887216,Static > Interactive,-0.27652746314344423
AI Deceptive,AI Deceptive Post,student_t,2.2019234663721847,0.028494986407279252,279,Interactive,Static,0.3767123287671233,0.0,Interactive > Static,0.2639380921481883
AI systems are 6,AI systems are 6 Post,student_t,-2.0957417452568516,0.037012688394536745,279,Interactive,Static,-0.3835616438356164,-0.2556390977443609,Static > Interactive,-0.2512104014176991
AI systems are 2,AI systems are 2 Post,student_t,1.6699538901377218,0.09605807514904378,279,Interactive,Static,0.11643835616438356,0.007518796992481203,Interactive > Static,0.20017246306229902
AI systems are 8,AI systems are 8 Post,student_t,-1.465499586432632,0.14391882345382842,279,Interactive,Static,-0.02054794520547945,0.06015037593984962,Static > Interactive,-0.1756651267831159
AI Harm,AI Harm Post,student_t,-1.446136872570132,0.14926933374822796,279,Interactive,Static,0.0684931506849315,0.3007518796992481,Static > Interactive,-0.1733441751997716
AI systems are 9,AI systems are 9 Post,student_t,-1.258982024346878,0.20909676457384646,279,Interactive,Static,-0.0410958904109589,0.007518796992481203,Static > Interactive,-0.1509104737879261
AI Confident,AI Confident Post,student_t,1.1497378846664652,0.251243535599237,279,Interactive,Static,-0.14383561643835616,-0.3082706766917293,Interactive > Static,0.1378156999477055
AI Trustworthy,AI Trustworthy Post,student_t,0.9011821850704385,0.3682743264454528,279,Interactive,Static,0.0410958904109589,-0.08270676691729323,Interactive > Static,0.10802205900339996
AI Suspicious,AI Suspicious Post,student_t,0.6794245306974958,0.49743625316037915,279,Interactive,Static,0.273972602739726,0.15789473684210525,Interactive > Static,0.0814406209523834
AI Trust,AI Trust Post,student_t,-0.6029936818394085,0.5470062666217603,279,Interactive,Static,-0.19863013698630136,-0.12030075187969924,Static > Interactive,-0.07227907981030798
AI Honest,AI Honest Post,student_t,-0.3921631857051313,0.6952392051113084,279,Interactive,Static,0.23972602739726026,0.3082706766917293,Static > Interactive,-0.04700744809096494
AI Security,AI Security Post,student_t,-0.36003736954036086,0.7190935453267983,279,Interactive,Static,0.06164383561643835,0.10526315789473684,Static > Interactive,-0.04315662095881079
AI systems are 5,AI systems are 5 Post,student_t,-0.3252821388500119,0.7452131036677797,279,Interactive,Static,-0.0410958904109589,-0.015037593984962405,Static > Interactive,-0.038990613638086605
AI Reliable,AI Reliable Post,student_t,0.2870466683287893,0.7742911906823233,279,Interactive,Static,-0.1095890410958904,-0.15037593984962405,Interactive > Static,0.03440744020091592
AI systems are 4,AI systems are 4 Post,student_t,0.18284180115996956,0.8550558996154475,279,Interactive,Static,0.18493150684931506,0.17293233082706766,Interactive > Static,0.021916709140945095
AI systems are 7,AI systems are 7 Post,student_t,-0.023122564910943832,0.9815691540438194,279,Interactive,Static,-0.3698630136986301,-0.3684210526315789,Static > Interactive,-0.0027716338743699097
