column,n,mean_Interactive,mean_Static,t_statistic,p_value,r_squared
AI systems are 3 Post,222,0.5652173913043478,0.7076923076923077,-2.2046104054115103,0.02851755430518173,0.021614784323814435
AI systems are 1 Post,222,0.41304347826086957,0.2846153846153846,2.002018877542166,0.046510661066615805,0.01789256706026893
AI Deceptive Post,222,-0.2826086956521739,0.046153846153846156,-1.8750305019599294,0.06211340300981705,0.015729269862519112
AI systems are 6 Post,222,0.6304347826086957,0.5230769230769231,1.5924973941877958,0.11270874807229511,0.011396121993948084
AI Harm Post,222,-0.010869565217391304,-0.2923076923076923,1.5438340580363221,0.12406573555448652,0.010717631558066654
AI systems are 7 Post,222,0.4891304347826087,0.3923076923076923,1.4346818281413616,0.15279777466600417,0.009269240723045068
AI systems are 2 Post,222,0.43478260869565216,0.5,-0.9564313434642945,0.3399041612934644,0.004140786749482402
AI Weary Post,222,0.1956521739130435,0.05384615384615385,0.7708467683533502,0.4416248195655106,0.0026936552616166776
AI systems are 5 Post,222,0.45652173913043476,0.4076923076923077,0.7219527637126718,0.47109016130930886,0.00236356303024171
AI Security Post,222,-0.32608695652173914,-0.2153846153846154,-0.6280919773891738,0.5305951467416052,0.0017899699534164426
AI systems are 4 Post,222,0.6956521739130435,0.7307692307692307,-0.5695687722257867,0.5695513171817415,0.0014724132853747279
AI systems are 8 Post,222,0.8804347826086957,0.8538461538461538,0.568696579955856,0.570142136143025,0.0014679138795986608
AI Trustworthy Post,222,-0.15217391304347827,-0.05384615384615385,-0.5459244791673401,0.5856709952755008,0.0013528651716454734
AI Honest Post,222,-0.532608695652174,-0.5923076923076923,0.39532009000318663,0.6929897212225508,0.000709850180056623
AI Trust Post,222,-0.1956521739130435,-0.13076923076923078,-0.3589486832824433,0.7199777265863184,0.0005853124688110888
AI systems are 9 Post,222,0.8913043478260869,0.8769230769230769,0.32686236284901726,0.7440827576306598,0.0004853961136808719
AI Suspicious Post,222,-0.021739130434782608,0.038461538461538464,-0.3257622120946141,0.7449139039253294,0.00048213570044105343
AI Reliable Post,222,0.043478260869565216,0.09230769230769231,-0.27173303678899485,0.7860821224822391,0.0003355184953862276
AI Confident Post,222,0.03260869565217391,0.046153846153846156,-0.07385873670834017,0.9411898996230063,2.4795353303172968e-05
AI Feel Post,0,,,,,
AI Understand Post,0,,,,,
AI Job Post,0,,,,,
